StrategyName,EntryTime,LastModTime,State,LastUpdateType,Symbol,Side,Type,TIF,Price,Quantity,DisplayQuantity,FilledQty,Remains,AvgFillPrice,ExecutionCost,Account,Trader,Broker,MarketCenter,OrderId,Tag,Reason,Closure
TestPybindStrategy,2021-Nov-05 13:30:03.670686,2021-Nov-05 13:30:04.273896,FILLED,FILL,AAPL,BUY,LIMIT,DAY,151.870000,100,0,100,0,151.870000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,365733645123584,,,
TestPybindStrategy,2021-Nov-05 13:30:03.837484,2021-Nov-05 13:30:03.837484,FILLED,FILL,AAPL,BUY,LIMIT,DAY,153.820000,100,0,100,0,153.820000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,365733645123585,,,
TestPybindStrategy,2021-Nov-05 13:30:04.169532,2021-Nov-05 13:30:04.169532,FILLED,FILL,AAPL,BUY,LIMIT,DAY,151.900000,100,0,100,0,151.900000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,365733645123586,,,
TestPybindStrategy,2021-Nov-05 13:30:04.169654,2021-Nov-05 13:30:04.169654,FILLED,FILL,AAPL,SELL,LIMIT,DAY,151.870000,-100,0,-100,0,151.870000,0.460189,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,365733645123587,,,
TestPybindStrategy,2021-Nov-05 13:30:04.169995,2021-Nov-05 13:30:04.169995,FILLED,FILL,AAPL,SELL,LIMIT,DAY,151.870000,-100,0,-100,0,151.870000,0.460189,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,365733645123588,,,
TestPybindStrategy,2021-Nov-05 13:30:04.170810,2021-Nov-05 13:30:04.170810,FILLED,FILL,AAPL,SELL,LIMIT,DAY,151.870000,-100,0,-100,0,151.870000,0.460189,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,365733645123589,,,
TestPybindStrategy,2021-Nov-05 13:30:04.414362,2021-Nov-05 13:30:04.414362,FILLED,FILL,AAPL,BUY,LIMIT,DAY,151.840000,100,0,100,0,151.840000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,365733645123590,,,
TestPybindStrategy,2021-Nov-05 13:30:04.537294,2021-Nov-05 13:30:04.537294,FILLED,FILL,AAPL,BUY,LIMIT,DAY,151.830000,100,0,100,0,151.830000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,365733645123591,,,
TestPybindStrategy,2021-Nov-05 13:30:04.669008,2021-Nov-05 13:30:04.669008,FILLED,FILL,AAPL,BUY,LIMIT,DAY,153.820000,100,0,100,0,153.820000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,365733645123592,,,
TestPybindStrategy,2021-Nov-05 13:30:04.966908,2021-Nov-05 13:30:04.966908,FILLED,FILL,AAPL,BUY,LIMIT,DAY,151.850000,100,0,100,0,151.850000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,365733645123593,,,
TestPybindStrategy,2021-Nov-05 13:30:04.966936,2021-Nov-05 13:30:04.966936,FILLED,FILL,AAPL,BUY,LIMIT,DAY,151.850000,100,0,100,0,151.850000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,365733645123594,,,
TestPybindStrategy,2021-Nov-05 13:30:05.344429,2021-Nov-05 13:30:05.344429,FILLED,FILL,AAPL,BUY,LIMIT,DAY,153.820000,100,0,100,0,153.820000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,365733645123595,,,
TestPybindStrategy,2021-Nov-05 13:30:05.344431,2021-Nov-05 13:30:05.344431,FILLED,FILL,AAPL,BUY,LIMIT,DAY,153.820000,100,0,100,0,153.820000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,365733645123596,,,
TestPybindStrategy,2021-Nov-05 13:30:06.134110,2021-Nov-05 13:30:06.134110,FILLED,FILL,AAPL,BUY,LIMIT,DAY,153.820000,100,0,100,0,153.820000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,365733645123597,,,
