StrategyName,TradeTime,Symbol,Quantity,Price,ExecutionCost,LiquidityAction,LiquidityCode,RawLiquidity,Account,Trader,MarketCenter,OrderID,ExecID,TransactionType
TestPybindStrategy,2021-Nov-05 13:30:03.670686,AAPL,17,151.870000,0.020400,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645164636,,FILL
TestPybindStrategy,2021-Nov-05 13:30:03.837484,AAPL,100,153.820000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645164637,,FILL
TestPybindStrategy,2021-Nov-05 13:30:04.169532,AAPL,100,151.900000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645164638,,FILL
TestPybindStrategy,2021-Nov-05 13:30:04.169654,AAPL,-100,151.870000,0.460189,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645164639,,FILL
TestPybindStrategy,2021-Nov-05 13:30:04.169995,AAPL,-100,151.870000,0.460189,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645164640,,FILL
TestPybindStrategy,2021-Nov-05 13:30:04.170810,AAPL,-100,151.870000,0.460189,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645164641,,FILL
TestPybindStrategy,2021-Nov-05 13:30:04.273896,AAPL,83,151.870000,0.099600,ADDED,0,,SIM-1001-101,dlariviere,IEX,365733645164636,,FILL
TestPybindStrategy,2021-Nov-05 13:30:04.414362,AAPL,100,151.840000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645164642,,FILL
TestPybindStrategy,2021-Nov-05 13:30:04.537294,AAPL,100,151.830000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645164643,,FILL
TestPybindStrategy,2021-Nov-05 13:30:04.669008,AAPL,100,153.820000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645164644,,FILL
TestPybindStrategy,2021-Nov-05 13:30:04.966908,AAPL,100,151.850000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645164645,,FILL
TestPybindStrategy,2021-Nov-05 13:30:04.966936,AAPL,100,151.850000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645164646,,FILL
TestPybindStrategy,2021-Nov-05 13:30:05.344429,AAPL,100,153.820000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645164647,,FILL
